fecha,granja,tipo_alimento,origen_alimento,kilos
2015-07-15,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,11975
2015-07-16,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-07-18,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,5805
2015-07-19,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,15020
2015-07-20,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,14860
2015-07-21,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,5835
2015-07-22,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-07-23,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-07-24,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-07-25,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-07-26,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-07-27,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-07-28,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-07-29,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-07-30,Potrerillos 2,Engorda 10,Planta de Alimentos Sanfandila,6065
2015-07-31,Potrerillos 2,Engorda 10,Sanfandila B,330
2015-08-01,Potrerillos 2,Crecimiento,Planta de Alimentos Sanfandila,3450
2015-08-02,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,6670
2015-08-03,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,9370
2015-08-04,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,9550
2015-08-05,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,11580
2015-08-06,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,11175
2015-08-07,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,12060
2015-08-08,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,9065
2015-08-09,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,8945
2015-08-10,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,11165
2015-08-11,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,9230
2015-08-12,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,5760
2015-08-13,Potrerillos 2,Desarrollo,Planta de Alimentos Sanfandila,6545
2015-08-14,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,5940
2015-08-15,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,11975
2015-08-16,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-08-18,Potrerillos 2,Engorda 5,Planta de Alimentos Sanfandila,5805
