sem_edad,dias_edad,sitios,alimento,consumo_alimento,mortalidad,ganancia_diaria,peso,peso_desecho,peso_retrasado,porcentaje_desecho,porcentaje_retrasado,inventario_inicial,inventario_final,inventario_desecho,inventario_retrasado,cantidad_alimento_consumido,cantidad_alimento_acumulado,kg_carne,conversion_alimenticia
12,80,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,36.9 ,,,,,1942.403388036,1941.0905240868,,,3468.5774786357,108309.990168645,71713.5894123873,1.784
12,81,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,37.7 ,,,,,1941.0905240868,1939.7776601376,,,3466.2330787265,111776.223247372,73154.8348967706,1.798
12,82,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,38.5 ,,,,,1939.7776601376,1938.4647961885,,,3463.8886788172,115240.111926189,74594.0638221279,1.812
12,83,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,39.2 ,,,,,1938.4647961885,1937.1519322393,,,3461.544278908,118701.656205097,76031.2761884593,1.825
13,84,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,40.0 ,,,,,1937.1519322393,1935.8390682901,,,3459.1998789987,122160.856084096,77466.4719957648,1.838
13,85,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,40.8 ,,,,,1935.8390682901,1934.5262043409,,,3456.8554790895,125617.711563185,78899.6512440443,1.850
13,86,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,41.6 ,,,,,1934.5262043409,1933.2133403917,,,3454.5110791802,129072.222642365,80330.8139332978,1.862
13,87,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,42.3 ,,,,,1933.2133403917,1931.9004764426,,,3452.166679271,132524.389321636,81759.9600635255,1.873
13,88,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,43.1 ,,,,,1931.9004764426,1930.5876124934,,,3449.8222793617,135974.211600998,83187.0896347272,1.884
13,89,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,43.9 ,,,,,1930.5876124934,1929.2747485442,,,3447.4778794525,139421.68948045,84612.2026469029,1.894
13,90,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,44.6 ,,,,,1929.2747485442,1927.961884595,,,3445.1334795432,142866.822959994,86035.2991000527,1.904
14,91,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,45.4 ,,,,,1927.961884595,1926.6490206458,,,3442.789079634,146309.612039628,87456.3789941766,1.914
14,92,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,46.2 ,,,,,1926.6490206458,1925.3361566967,,,3440.4446797247,149750.056719352,88875.4423292745,1.923
14,93,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,46.9 ,,,,,1925.3361566967,1924.0232927475,,,3438.1002798155,153188.156999168,90292.4891053465,1.932
14,94,S3,CRECIMIENTO,1.786 ,0.000656432,0.768,47.7 ,,,,,1924.0232927475,1922.7104287983,,,3435.7558799062,156623.912879074,91707.5193223926,1.941
