fecha, granja, tipo_alimento, origen_alimento, cantidad
2015-08-22,Potrero,Desarrollo, Planta de Alimentos Sanfandila,15125
2015-08-24,Potrero,Engorda, Planta de Alimentos Sanfandila,6630
2015-08-24,Potrero,Crecimiento , Planta de Alimentos Sanfandila,11350
2015-08-25,Potrero,Engorda, Planta de Alimentos Sanfandila,8905
2015-08-25,Potrero,Crecimiento 2, Planta de Alimentos Sanfandila,9075
2015-08-26,Potrero,Engorda, Planta de Alimentos Sanfandila,11760
2015-08-26,Potrero,Crecimiento 2, Planta de Alimentos Sanfandila,17990
2015-08-27,Potrero,Engorda, Planta de Alimentos Sanfandila,14925
2015-08-27,Potrero,Crecimiento , Planta de Alimentos Sanfandila,13780
2015-08-29,Potrero,Desarrollo, Planta de Alimentos Sanfandila,14845
2015-08-31,Potrero,Engorda, Planta de Alimentos Sanfandila,12145
2015-08-31,Potrero,Crecimiento , Planta de Alimentos Sanfandila,4850
2015-09-01,Potrero,Crecimiento , Planta de Alimentos Sanfandila,5905
2015-09-01,Potrero,Crecimiento 2, Planta de Alimentos Sanfandila,12070
2015-09-01,Potrero,Desarrollo, Planta de Alimentos Sanfandila,11785
2015-09-02,Potrero,Engorda, Planta de Alimentos Sanfandila,11770
2015-09-03,Potrero,Crecimiento 2, Planta de Alimentos Sanfandila,6000
2015-09-03,Potrero,Desarrollo, Planta de Alimentos Sanfandila,11430
2015-09-05,Potrero,Engorda, Planta de Alimentos Sanfandila,11740
2015-09-05,Potrero,Desarrollo, Planta de Alimentos Sanfandila,11870
2015-09-05,Potrero,Engorda, Planta de Alimentos Sanfandila,12075
2015-09-07,Potrero,Crecimiento , Planta de Alimentos Sanfandila,11455
2015-09-07,Potrero,Engorda 5, Planta de Alimentos Sanfandila,5780
2015-09-08,Potrero,Crecimiento , Planta de Alimentos Sanfandila,12965
2015-09-08,Potrero,Desarrollo, Planta de Alimentos Sanfandila,9200
2015-09-08,Potrero,Engorda 5, Planta de Alimentos Sanfandila,8995
2015-09-09,Potrero,Desarrollo, Planta de Alimentos Sanfandila,6140
2015-09-09,Potrero,Engorda 5, Planta de Alimentos Sanfandila,11710
2015-09-10,Potrero,Desarrollo, Planta de Alimentos Sanfandila,14880
2015-09-11,Potrero,Crecimiento , Planta de Alimentos Sanfandila,9205
2015-09-11,Potrero,Desarrollo, Planta de Alimentos Sanfandila,7900
2015-09-11,Potrero,Engorda 5, Planta de Alimentos Sanfandila,11955
2015-09-12,Potrero,Engorda 5, Planta de Alimentos Sanfandila,12110
2015-09-14,Potrero,Crecimiento 2, Planta de Alimentos Sanfandila,9020
2015-09-14,Potrero,Desarrollo, Planta de Alimentos Sanfandila,12190
2015-09-14,Potrero,Engorda 5, Planta de Alimentos Sanfandila,12145
2015-09-15,Potrero,Desarrollo, Planta de Alimentos Sanfandila,12245
2015-09-15,Potrero,Engorda 5, Planta de Alimentos Sanfandila,5930
2015-09-16,Potrero,Desarrollo, Planta de Alimentos Sanfandila,17715
2015-09-16,Potrero,Engorda 5, Planta de Alimentos Sanfandila,12090
2015-09-18,Potrero,Desarrollo, Planta de Alimentos Sanfandila,16590
2015-09-18,Potrero,Engorda 5, Planta de Alimentos Sanfandila,9505
2015-09-21,Potrero,Desarrollo, Planta de Alimentos Sanfandila,15940
2015-09-21,Potrero,Engorda 5, Planta de Alimentos Sanfandila,8845
2015-09-21,Potrero,Engorda 10, Planta de Alimentos Sanfandila,8965
2015-09-22,Potrero,Desarrollo, Planta de Alimentos Sanfandila,15130
2015-09-22,Potrero,Engorda 10, Planta de Alimentos Sanfandila,15250
2015-09-23,Potrero,Desarrollo, Planta de Alimentos Sanfandila,15110
2015-09-23,Potrero,Engorda 5, Planta de Alimentos Sanfandila,12095
2015-09-24,Potrero,Desarrollo, Planta de Alimentos Sanfandila,12230
2015-09-24,Potrero,Engorda 10, Planta de Alimentos Sanfandila,15120
2015-09-28,Potrero,Desarrollo, Planta de Alimentos Sanfandila,12235
2015-09-28,Potrero,Engorda 5, Planta de Alimentos Sanfandila,9275
2015-09-28,Potrero,Engorda 10, Planta de Alimentos Sanfandila,9145
2015-09-29,Potrero,Engorda 5, Planta de Alimentos Sanfandila,6190
2015-09-29,Potrero,Engorda 10, Planta de Alimentos Sanfandila,6160
2015-09-30,Potrero,Engorda 5, Planta de Alimentos Sanfandila,15465
2015-09-30,Potrero,Desarrollo, Planta de Alimentos Sanfandila,15020
2015-09-30,Potrero,Engorda 10, Planta de Alimentos Sanfandila,12360
2015-10-02,Potrero,Desarrollo, Planta de Alimentos Sanfandila,12080
2015-10-03,Potrero,Engorda 5, Planta de Alimentos Sanfandila,15275
2015-10-03,Potrero,Engorda 10, Planta de Alimentos Sanfandila,15145
2015-10-05,Potrero,Desarrollo, Planta de Alimentos Sanfandila,12390
2015-10-05,Potrero,Engorda 5, Planta de Alimentos Sanfandila,15015
2015-10-07,Potrero,Engorda 10, Planta de Alimentos Sanfandila,14905
2015-10-08,Potrero,Engorda 5, Planta de Alimentos Sanfandila,8270
2015-10-08,Potrero,Engorda 10, Planta de Alimentos Sanfandila,15125
2015-10-09,Potrero,Desarrollo, Planta de Alimentos Sanfandila,12210
2015-10-09,Potrero,Engorda 5, Planta de Alimentos Sanfandila,15020
2015-10-10,Potrero,Engorda 10, Planta de Alimentos Sanfandila,8815
