fecha,granja,flujo,granja_origen,lote,cerdos_recibidos,kilos_total,edad_total
2015-06-16,Sanfandila C,Sanfandila,Potrerillos 2,14,256,5120,18432
2015-06-16,Sanfandila C,Tepuza,Potrerillos 2,14,234,5890,16848
2015-06-18,Sanfandila C,Tepuza,Potrerillos 2,14,158,4266,11692
2015-06-18,Sanfandila C,Palomas,Potrerillos 2,14,345,9634,25678
2015-06-22,Sanfandila C,Sanfandila,Potrerillos 2,15,616,13345,43736
2015-06-23,Sanfandila C,Sanfandila,Potrerillos 2,15,440,9380,31680
2015-06-23,Sanfandila C,Sanfandila,Potrerillos 2,15,166,4320,11952
