fecha,granja,tipo_alimento,origen_alimento,kilos
2015-07-09,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,8945
2015-07-10,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,11165
2015-07-11,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,9230
2015-07-12,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,5760
2015-07-13,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,6545
2015-07-14,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,5940
2015-07-15,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,11975
2015-07-16,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-07-18,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,5805
2015-07-19,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,15020
2015-07-20,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,14860
2015-07-21,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,5835
2015-07-22,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-07-23,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-07-24,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-07-25,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-07-26,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-07-27,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-07-28,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-07-29,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-07-30,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,6065
2015-07-31,18 de Marzo A,Engorda 10,Sanfandila B,330
2015-08-01,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,3450
2015-08-02,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,6670
2015-08-03,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,9370
2015-08-04,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,9550
2015-08-05,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,11580
2015-08-06,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,11175
2015-08-07,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,12060
2015-08-08,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,9065
2015-08-09,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,8945
2015-08-10,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,11165
2015-08-11,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,9230
2015-08-12,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,5760
2015-08-13,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,6545
2015-08-14,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,5940
2015-08-15,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,11975
2015-08-16,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-08-18,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,5805
2015-08-19,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,15020
2015-08-20,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,14860
2015-08-21,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,5835
2015-08-22,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-08-23,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-08-24,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-08-25,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-08-26,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-08-27,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-08-28,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-08-29,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-08-30,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,6065
2015-08-31,18 de Marzo A,Engorda 10,Sanfandila B,330
2015-09-01,18 de Marzo A,Crecimiento,Planta de Alimentos Sanfandila,3450
2015-09-02,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,6670
2015-09-03,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,9370
2015-09-04,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,9550
2015-09-05,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,11580
2015-09-06,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,11175
2015-09-07,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,12060
2015-09-08,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,9065
2015-09-09,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,8945
2015-09-10,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,11165
2015-09-11,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,9230
2015-09-12,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,5760
2015-09-13,18 de Marzo A,Desarrollo,Planta de Alimentos Sanfandila,6545
2015-09-14,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,5940
2015-09-15,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,11975
2015-09-16,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-09-18,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,5805
2015-09-19,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,15020
2015-09-20,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,14860
2015-09-21,18 de Marzo A,Engorda 5,Planta de Alimentos Sanfandila,5835
2015-09-22,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-09-23,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-09-24,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-09-25,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-09-26,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-09-27,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-09-28,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-09-29,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-09-30,18 de Marzo A,Engorda 10,Planta de Alimentos Sanfandila,6065
